database,therapeutic_area,med_class,code,term,combo_flag,component_drugs
GOLD,bp,bp_medication,1455,Prazosin 500microgram tablets,0,
GOLD,bp,bp_medication,14552,propanix 10mg tablet (ashbourne pharmaceuticals ltd),0,
GOLD,bp,bp_medication,14587,Amiloride 5mg / Bumetanide 1mg tablets,0,
GOLD,bp,bp_medication,14673,Pindolol 15mg tablets,0,
GOLD,bp,bp_medication,147,Ramipril 1.25mg capsules,0,
GOLD,bp,bp_medication,14738,Hydrochlorothiazide with losartan 12.5mg with 50mg Tablet,0,
GOLD,bp,bp_medication,14808,Bedranol SR 80mg capsules (Sandoz Ltd),0,
GOLD,bp,bp_medication,14861,Calchan MR 10 tablets (Ranbaxy (UK) Ltd),0,
GOLD,bp,bp_medication,14870,Telmisartan 40mg / Hydrochlorothiazide 12.5mg tablets,0,
GOLD,bp,bp_medication,14943,Valsartan 40mg tablets,0,
GOLD,bp,bp_medication,14960,Coversyl 8mg tablets (Servier Laboratories Ltd),0,
GOLD,bp,bp_medication,14965,Cozaar 100mg tablets (Merck Sharp & Dohme Ltd),0,
GOLD,bp,bp_medication,14983,Olmetec 10mg tablets (Daiichi Sankyo UK Ltd),0,
GOLD,bp,bp_medication,15031,Accuretic 12.5mg/10mg tablets (Pfizer Ltd),0,
GOLD,bp,bp_medication,15042,Tolerzide Tablet (Bristol-Myers Squibb Pharmaceuticals Ltd),0,
GOLD,bp,bp_medication,15053,SPIRONOLACTONE 10 MG/5ML LIQ,0,
GOLD,bp,bp_medication,15085,innovace titration pack (merck sharp & dohme ltd),0,
GOLD,bp,bp_medication,15096,accupro 40mg tablets (pfizer ltd),0,
GOLD,bp,bp_medication,15108,Quinapril 10mg / Hydrochlorothiazide 12.5mg tablets,0,
GOLD,bp,bp_medication,15117,Nifedipine with atenolol 20mg + 50mg Capsule,0,
GOLD,bp,bp_medication,15121,Moexipril 7.5mg tablets,0,
GOLD,bp,bp_medication,15127,Hydrochlorothiazide with triamterene 25mgwith50mg Tablet,0,
GOLD,bp,bp_medication,15135,Hydrochlorothiazide with captopril 12.5mg with 25mg Tablet,0,
GOLD,bp,bp_medication,15176,Totamol 50mg Tablet (C P Pharmaceuticals Ltd),0,
GOLD,bp,bp_medication,1520,Capozide 25mg/50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),0,
GOLD,bp,bp_medication,15221,Dilcardia xl 180mg Modified-release capsule (Generics (UK) Ltd),0,
GOLD,bp,bp_medication,15288,Angitil XL 300 capsules (Ethypharm UK Ltd),0,
GOLD,bp,bp_medication,1529,Posicor 50mg Tablet (Roche Products Ltd),0,
GOLD,bp,bp_medication,1538,Diltiazem 60mg tablets,0,
GOLD,bp,bp_medication,15457,Baycaron 25mg Tablet (Bayer Plc),0,
GOLD,bp,bp_medication,15488,Metoprolol tartrate with chlortalidone Tablet,0,
GOLD,bp,bp_medication,15493,Reserpine with hydrochlorothiazide tablet,0,
